system:index,Daytime,.geo
195,-0.411418191216832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.065394432510672]}"
196,-0.411418191216832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91580245433948,19.065394432510672]}"
197,-1.5272263290760648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.062699486658317]}"
198,-4.603865731636553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.06000454080595]}"
199,-1.4296698252037814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.06000454080595]}"
200,-0.5554997460336963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.06000454080595]}"
201,0.32675660122264816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92119234604422,19.06000454080595]}"
202,-4.603865731636553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.057309594953594]}"
203,-2.396989645023588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.057309594953594]}"
204,-0.5554997460336963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.057309594953594]}"
205,-4.603865731636553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.05461464910124]}"
206,-0.4888364918704511,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8834631041112,19.05461464910124]}"
207,-0.5554997460336963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.05461464910124]}"
208,-0.3693244798584274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93736202115835,19.05461464910124]}"
209,-3.389114269648225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.051919703248885]}"
210,-3.389114269648225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.051919703248885]}"
211,-2.5810587140926557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.051919703248885]}"
212,-1.4149776330115813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.051919703248885]}"
213,-1.0222449002788565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87268332070175,19.051919703248885]}"
214,-1.4689538234878015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.051919703248885]}"
215,-1.159141649969719,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.051919703248885]}"
216,-1.153162317696264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91849740019185,19.051919703248885]}"
217,-3.389114269648225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.049224757396516]}"
218,-1.362282437816397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.049224757396516]}"
219,-2.368290696074645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.049224757396516]}"
220,-1.4149776330115813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.04652981154416]}"
221,-0.8666142696482169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.04652981154416]}"
